time;RSSI;RSRP;SINR;RSRQ;TX POWER;PCC RXD RSRP;PCC RXD RSSI;PCC RXM RSRP;PCC RXM RSSI;SCC RXD RSRP;SCC RXD RSSI;SCC RXM RSRP;SCC RXM RSSI;BAND;BW;RX CHAN;TX CHAN;SCELL BAND;SCELL BW;SCELL CHAN;CELLID;TAC;IP;network;interface
1575982946.216;-82.0;-107.0;4.4;-9.4;0.0;-140.0;-98.0;-107.0;-82.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982946.522;-82.0;-107.0;6.4;-8.8;0.0;-140.0;-98.0;-107.0;-82.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982946.656;-80.0;-107.0;4.2;-9.1;23.0;-140.0;-98.0;-107.0;-80.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982946.770;-81.0;-107.0;6.2;-9.4;23.0;-140.0;-98.0;-107.0;-81.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982946.955;-81.0;-107.0;6.4;-9.4;0.0;-140.0;-98.0;-107.0;-81.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982947.017;-82.0;-107.0;4.2;-9.2;3.0;-140.0;-98.0;-107.0;-82.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982947.080;-81.0;-107.0;4.4;-9.1;23.0;-140.0;-98.0;-107.0;-81.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982947.173;-82.0;-107.0;5.8;-9.4;23.0;-140.0;-98.0;-107.0;-82.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982947.297;-82.0;-107.0;7.2;-9.3;4.0;-140.0;-98.0;-107.0;-82.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982947.421;-79.0;-107.0;6.0;-9.2;0.0;-140.0;-98.0;-107.0;-79.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
